date,ETH en EUR,12 days EMA,26 days EMA,MACD,Signal
24/08/15,1,,,,
25/08/15,1,,,,
26/08/15,1,,,,
27/08/15,1,,,,
28/08/15,1,,,,
29/08/15,1,,,,
30/08/15,1,,,,
31/08/15,1,,,,
01/09/15,1,,,,
02/09/15,1,,,,
03/09/15,1,,,,
04/09/15,1,1,,,
05/09/15,1,1,,,
06/09/15,1,1,,,
07/09/15,1,1,,,
08/09/15,1,1,,,
09/09/15,1,1,,,
10/09/15,1,1,,,
11/09/15,0,"0,8461538462",,,
12/09/15,0,"0,7159763314",,,
13/09/15,0,"0,6058261265",,,
14/09/15,0,"0,5126221071",,,
15/09/15,0,"0,4337571675",,,
16/09/15,0,"0,3670252956",,,
17/09/15,0,"0,3105598655",,,
18/09/15,0,"0,2627814247","0,6923076923","-0,4295262677",
19/09/15,0,"0,2223535132","0,641025641","-0,4186721279",
20/09/15,0,"0,1881452804","0,5935422602","-0,4053969798",
21/09/15,0,"0,1591998526","0,5495761669","-0,3903763142",
22/09/15,0,"0,1347075676","0,5088668212","-0,3741592536",
23/09/15,0,"0,1139833264","0,4711729826","-0,3571896561",
24/09/15,0,"0,0964474301","0,4362712801","-0,3398238501",
25/09/15,0,"0,0816093639","0,403954889","-0,3223455251",
26/09/15,0,"0,0690540771","0,3740323047","-0,3049782275","-0,3713853558"
27/09/15,0,"0,058430373","0,346326208","-0,287895835","-0,355648641"
28/09/15,0,"0,0494410848","0,3206724148","-0,27123133","-0,3392663302"
29/09/15,0,"0,0418347641","0,2969189026","-0,2550841385","-0,3225649034"
30/09/15,0,"0,0353986465","0,2749249098","-0,2395262633","-0,3058037866"
01/10/15,0,"0,0299527009","0,2545601017","-0,2246074008","-0,2891869141"
02/10/15,0,"0,0253445931","0,2357037979","-0,2103592048","-0,2728724195"
03/10/15,0,"0,0214454249","0,2182442573","-0,1967988324","-0,2569807508"
04/10/15,0,"0,0181461288","0,202078016","-0,1839318872","-0,2416014577"
05/10/15,0,"0,0153544167","0,1871092741","-0,1717548574","-0,2267988611"
06/10/15,0,"0,0129921987","0,1732493278","-0,1602571291","-0,2126167826"
07/10/15,0,"0,0109933989","0,1604160443","-0,1494226454","-0,1990824843"
08/10/15,0,"0,0093021068","0,1485333744","-0,1392312676","-0,1862099431"
09/10/15,0,"0,0078710134","0,1375309022","-0,1296598888","-0,1740025682"
10/10/15,0,"0,0066600883","0,1273434279","-0,1206833397","-0,1624554503"
11/10/15,0,"0,0056354593","0,1179105814","-0,1122751221","-0,1515572189"
12/10/15,0,"0,0047684656","0,1091764643","-0,1044079987","-0,1412915707"
13/10/15,0,"0,0040348555","0,1010893188","-0,0970544633","-0,1316385236"
14/10/15,0,"0,0034141085","0,0936012211","-0,0901871126","-0,1225754408"
15/10/15,0,"0,002888861","0,0866677973","-0,0837789363","-0,1140778638"
16/10/15,0,"0,0024444209","0,0802479605","-0,0778035396","-0,1061201854"
17/10/15,0,"0,0020683561","0,0743036671","-0,072235311","-0,0986761902"
18/10/15,0,"0,0017501475","0,0687996918","-0,0670495443","-0,0917194853"
19/10/15,0,"0,001480894","0,0637034183","-0,0622225243","-0,0852238391"
20/10/15,0,"0,0012530642","0,0589846466","-0,0577315824","-0,0791634458"
21/10/15,0,"0,0010602851","0,0546154135","-0,0535551284","-0,0735131269"
22/10/15,0,"0,0008971643","0,0505698273","-0,049672663","-0,0682484824"
23/10/15,0,"0,000759139","0,0468239142","-0,0460647752","-0,0633460005"
24/10/15,0,"0,0006423484","0,0433554761","-0,0427131277","-0,0587831329"
25/10/15,0,"0,0005435256","0,0401439593","-0,0396004338","-0,0545383433"
26/10/15,0,"0,0004599062","0,0371703327","-0,0367104265","-0,0505911339"
27/10/15,0,"0,0003891514","0,0344169747","-0,0340278233","-0,0469220538"
